PSRJ,P0,P1,W50,S1400,DM ,SPINDX
J0034-0534,0.001877,4.97e-21,0.0008,0.61,13.77 ,-2.72
J0034-0721,0.942951,4.08e-16,0.0377,11.10,10.92 ,-1.60
J0045-7042,0.632336,2.49e-15,0.019,0.11,70.00 ,-1.6
J0045-7319,0.926276,4.46e-15,0.02,0.30,105.40 ,-1.6
J0051+0423,0.354732,7.00e-18,0.0256,0.50,13.90 ,-1.6
J0108-1431,0.807565,7.70e-17,0.026,1.40,2.38 ,-1.6
J0111-7131,0.688542,7.09e-15,0.013,0.06,76.00 ,-1.6
J0131-7310,0.348124,1.76e-15,0.0048,0.15,205.20 ,-1.6
J0134-2937,0.136962,7.84e-17,0.0019,3.90,21.81 ,-1.6
J0151-0635,1.464665,4.43e-16,0.1172,1.60,25.66 ,-1.39
J0152-1637,0.832742,1.30e-15,0.0146,2.10,11.93 ,-1.83
J0206-4028,0.630550,1.20e-15,0.0049,0.80,12.90 ,-1.6
J0211-8159,1.077333,2.90e-16,0.0485,0.30,24.36 ,-1.6
J0255-5304,0.447708,3.06e-17,0.0075,5.00,15.90 ,-1.6
J0304+1932,1.387584,1.30e-15,0.042,15.10,15.66 ,-1.40
J0323+3944,3.032072,6.36e-16,0.0427,0.90,26.19 ,-2.80
J0343-3000,2.597027,5.70e-17,0.0353,1.30,20.20 ,-1.6
J0401-7608,0.545253,1.54e-15,0.0203,3.80,21.70 ,-1.50
J0421-0345,2.161308,1.16e-15,0.025,0.50,44.61 ,-1.6
J0435+2749,0.326279,8.17e-18,0.053,0.24,53.19 ,-2.30
J0437-4715,0.005757,5.73e-20,0.000141,160.00,2.64 ,-1.00
J0448-2749,0.450448,1.48e-16,0.0105,2.00,26.22 ,-1.6
J0449-7031,0.479164,3.37e-15,0.0079,0.14,65.83 ,-1.6
J0450-1248,0.438014,1.03e-16,0.0248,1.20,37.04 ,-2.00
J0452-1759,0.548939,5.75e-15,0.0268,16.80,39.90 ,-2.30
J0456-7031,0.800132,3.67e-14,0.008,0.05,100.30 ,-1.6
J0457-6337,2.497012,2.10e-16,0.036,0.18,27.50 ,-1.6
J0459-0210,1.133076,1.40e-15,0.0101,0.60,21.02 ,-1.6
J0511-6508,0.322062,2.06e-16,0.012,0.60,25.66 ,-1.6
J0517+2212,0.222367,1.16e-17,0.028,0.46,18.70 ,-1.6
J0519-6932,0.263212,6.97e-16,0.0041,0.14,119.40 ,-1.6
J0520-2553,0.241642,3.01e-17,0.0095,0.80,33.77 ,-1.6
J0522-6847,0.674532,1.77e-14,0.012,0.19,126.45 ,-1.6
J0525+1115,0.354438,7.36e-17,0.0139,1.70,79.42 ,-1.90
J0528+2200,3.745539,4.01e-14,0.1519,8.90,50.87 ,-1.50
J0529-6652,0.975725,1.55e-14,0.024,0.30,103.20 ,-1.6
J0532-6639,0.642743,5.35e-15,0.009,0.08,69.30 ,-1.6
J0533+0402,0.963018,1.60e-16,0.015,0.70,83.70 ,-1.6
J0534+2200,0.033392,4.21e-13,0.003,14.00,56.77 ,-3.10
J0534-6703,1.817565,4.25e-13,0.025,0.08,94.70 ,-1.6
J0536-7543,1.245856,5.65e-16,0.0571,8.40,18.58 ,-1.80
J0538+2817,0.143158,3.67e-15,0.0027,1.90,39.57 ,-1.6
J0540+3207,0.524271,4.48e-16,0.012,0.34,61.97 ,-1.6
J0540-6919,0.050570,4.79e-13,0.018,0.02,146.50 ,-1.6
J0540-7125,1.286015,8.20e-16,0.03,0.30,29.41 ,-1.6
J0543+2329,0.245975,1.54e-14,0.0053,10.70,77.70 ,-0.70
J0543-6851,0.708954,3.94e-15,0.058,0.22,131.00 ,-1.6
J0555-7056,0.827838,5.96e-15,0.027,0.21,73.40 ,-1.6
J0601-0527,0.395969,1.30e-15,0.0158,2.60,80.54 ,-1.74
J0610-2100,0.003861,1.24e-20,0.0002,0.40,60.67 ,-1.6
J0611+1436,0.270329,4.00e-15,0.0116,1.10,45.70 ,-1.6
J0612+3721,0.443871,1.50e-16,0.0053,4.00,39.27 ,-1.50
J0613-0200,0.003062,9.59e-21,0.000462,2.30,38.78 ,-1.80
J0613+3731,0.619198,3.24e-15,0.011,0.13,18.99 ,-1.80
